title,city,locality,bhk,areaSqft,floor,totalFloors,ageYears,furnishedStatus,facing,propertyType,listingType,price,verified,hot,sellerName,sellerPhone
"Spacious 2BHK Villa in Park Street","Kolkata","Park Street","2","1208","17","30","2","Unfurnished","North-East","Villa","Buy","9820755","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Independent House in Ballygunge","Kolkata","Ballygunge","1","652","16","31","22","Furnished","South-East","Independent House","Buy","4545679","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Villa in Barasat","Kolkata","Barasat","1","825","16","27","12","Furnished","South-East","Villa","Rent","6594","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Alipore","Kolkata","Alipore","2","753","","15","9","Furnished","North","Studio","Rent","33263","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Independent House in Rajarhat","Kolkata","Rajarhat","4","2090","4","15","8","Unfurnished","West","Independent House","Buy","9883933","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Apartment in Rajarhat","Kolkata","Rajarhat","1","1100","1","13","5","Furnished","South-East","Apartment","Rent","9056","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Studio in Howrah","Kolkata","Howrah","2","916","2","5","21","Unfurnished","North-West","Studio","Buy","2930757","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Garia","Kolkata","Garia","2","828","13","17","23","Furnished","North-East","Apartment","Rent","16376","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Ballygunge","Kolkata","Ballygunge","2","801","5","12","21","Unfurnished","South","Villa","Buy","4460799","true","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Apartment in Dum Dum","Kolkata","Dum Dum","5","2147","2","16","5","Furnished","West","Apartment","Buy","11314335","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Independent House in Rajarhat","Kolkata","Rajarhat","4","1908","14","15","18","Unfurnished","North-East","Independent House","Buy","8188655","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Tollygunge","Kolkata","Tollygunge","2","1447","1","11","15","Furnished","North-West","Builder Floor","Buy","6956291","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Rajarhat","Kolkata","Rajarhat","3","1672","","5","5","Unfurnished","East","Apartment","Buy","8048201","true","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Kasba","Kolkata","Kasba","3","1142","3","5","10","Unfurnished","East","Studio","Rent","26753","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Garia","Kolkata","Garia","3","950","18","26","2","Furnished","North","Builder Floor","Buy","4795386","true","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Studio in Rajarhat","Kolkata","Rajarhat","5","1204","14","28","10","Unfurnished","South-West","Studio","Buy","4917606","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Ballygunge","Kolkata","Ballygunge","3","1619","18","27","20","Unfurnished","North","Studio","Buy","9550861","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Studio in Tollygunge","Kolkata","Tollygunge","1","743","4","5","2","Unfurnished","South-East","Studio","Rent","8345","","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Villa in Howrah","Kolkata","Howrah","1","756","7","8","24","Semi-Furnished","North-East","Villa","Rent","7781","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Ballygunge","Kolkata","Ballygunge","3","1331","15","29","13","Unfurnished","North","Builder Floor","Rent","36112","","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Villa in Park Street","Kolkata","Park Street","1","735","4","10","22","Unfurnished","North-West","Villa","Rent","12963","","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Independent House in Barasat","Kolkata","Barasat","5","2458","17","20","21","Semi-Furnished","North-West","Independent House","Buy","7298019","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in New Town","Kolkata","New Town","2","1259","14","27","19","Unfurnished","North-East","Apartment","Buy","5603823","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Studio in Garia","Kolkata","Garia","3","1197","17","27","8","Furnished","South","Studio","Rent","24737","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Gariahat","Kolkata","Gariahat","3","1542","11","25","18","Unfurnished","South-West","Independent House","Buy","8453072","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Jadavpur","Kolkata","Jadavpur","3","1539","11","20","10","Unfurnished","South-East","Builder Floor","Buy","7782031","true","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Independent House in Kasba","Kolkata","Kasba","5","1618","9","10","5","Semi-Furnished","South","Independent House","Rent","48538","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Kasba","Kolkata","Kasba","3","1313","12","22","23","Semi-Furnished","North-West","Apartment","Rent","29076","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Garia","Kolkata","Garia","2","829","","12","13","Furnished","North","Villa","Buy","3154442","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Builder Floor in Howrah","Kolkata","Howrah","3","1468","7","22","24","Furnished","South-West","Builder Floor","Buy","5377110","true","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Apartment in Tollygunge","Kolkata","Tollygunge","5","1323","1","13","","Furnished","East","Apartment","Buy","8196564","","true","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Behala","Kolkata","Behala","3","1772","3","11","12","Semi-Furnished","North","Independent House","Buy","7491079","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Villa in Behala","Kolkata","Behala","2","1207","14","29","10","Unfurnished","North-West","Villa","Rent","15796","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Apartment in New Town","Kolkata","New Town","4","1157","18","31","11","Unfurnished","North","Apartment","Buy","5851603","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Apartment in Maninagar","Ahmedabad","Maninagar","4","1985","19","23","18","Unfurnished","West","Apartment","Buy","7325241","","true","Sunita Verma","+91-9543210987"
"Cozy 1BHK Apartment in Thaltej","Ahmedabad","Thaltej","1","635","13","21","20","Semi-Furnished","South-East","Apartment","Rent","8944","","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Satellite","Ahmedabad","Satellite","2","1298","","4","9","Furnished","East","Villa","Buy","8258826","","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Apartment in Naroda","Ahmedabad","Naroda","3","1295","11","16","1","Furnished","South","Apartment","Rent","19928","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Studio in Bopal","Ahmedabad","Bopal","1","725","","6","9","Unfurnished","North","Studio","Rent","8065","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Villa in Thaltej","Ahmedabad","Thaltej","1","832","19","27","16","Semi-Furnished","East","Villa","Buy","3425400","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Gota","Ahmedabad","Gota","3","1149","7","10","21","Semi-Furnished","West","Independent House","Buy","3548482","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Apartment in Maninagar","Ahmedabad","Maninagar","1","638","2","11","21","Unfurnished","South-East","Apartment","Buy","2100742","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Builder Floor in Satellite","Ahmedabad","Satellite","1","1057","18","18","24","Semi-Furnished","North","Builder Floor","Buy","5544668","true","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Thaltej","Ahmedabad","Thaltej","2","1184","","11","13","Semi-Furnished","North","Independent House","Buy","5577837","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Gota","Ahmedabad","Gota","3","1254","16","21","19","Semi-Furnished","East","Independent House","Buy","3941247","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in SG Highway","Ahmedabad","SG Highway","2","744","6","18","9","Furnished","East","Villa","Buy","3904831","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Builder Floor in Thaltej","Ahmedabad","Thaltej","3","1625","6","6","4","Furnished","West","Builder Floor","Buy","8958897","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Studio in Memnagar","Ahmedabad","Memnagar","2","1072","15","25","3","Semi-Furnished","South-East","Studio","Rent","17375","","","Amit Patel","+91-9654321098"
"Cozy 1BHK Villa in Vastrapur","Ahmedabad","Vastrapur","1","881","7","17","3","Furnished","South-East","Villa","Buy","5468778","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Thaltej","Ahmedabad","Thaltej","2","1218","20","35","15","Unfurnished","East","Independent House","Rent","18273","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Builder Floor in Thaltej","Ahmedabad","Thaltej","4","1160","12","13","18","Semi-Furnished","North-West","Builder Floor","Buy","4681007","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Bopal","Ahmedabad","Bopal","2","1033","14","23","19","Furnished","North","Independent House","Buy","4006824","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Prahlad Nagar","Ahmedabad","Prahlad Nagar","2","1428","15","17","17","Semi-Furnished","North-East","Villa","Buy","7860340","true","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Builder Floor in Navrangpura","Ahmedabad","Navrangpura","4","1798","1","13","12","Unfurnished","South","Builder Floor","Buy","8715083","true","true","Priya Singh","+91-9765432109"
"Luxurious 4BHK Apartment in Odhav","Ahmedabad","Odhav","4","2066","17","31","13","Semi-Furnished","West","Apartment","Buy","6293921","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Apartment in Thaltej","Ahmedabad","Thaltej","4","1944","18","26","1","Furnished","East","Apartment","Rent","41565","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Independent House in Satellite","Ahmedabad","Satellite","4","1879","18","33","5","Semi-Furnished","East","Independent House","Buy","11431083","true","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Independent House in Vatva","Ahmedabad","Vatva","5","1352","5","15","13","Unfurnished","East","Independent House","Buy","3630076","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Memnagar","Ahmedabad","Memnagar","3","1518","17","19","3","Furnished","South","Independent House","Rent","27423","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Maninagar","Ahmedabad","Maninagar","3","1300","7","17","2","Furnished","North-East","Apartment","Buy","5975268","true","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Studio in SG Highway","Ahmedabad","SG Highway","3","1151","6","15","18","Furnished","West","Studio","Buy","5164605","true","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Prahlad Nagar","Ahmedabad","Prahlad Nagar","2","1005","9","22","6","Semi-Furnished","North-West","Independent House","Buy","5973191","true","true","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in SG Highway","Ahmedabad","SG Highway","4","1432","18","29","","Furnished","South-West","Apartment","Buy","8457185","","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Villa in Bodakdev","Ahmedabad","Bodakdev","3","1443","17","20","16","Unfurnished","North","Villa","Rent","29332","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in SG Highway","Ahmedabad","SG Highway","3","1284","4","7","8","Furnished","South-East","Villa","Rent","31817","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in Prahlad Nagar","Ahmedabad","Prahlad Nagar","3","1594","14","25","23","Furnished","North-West","Builder Floor","Buy","8354438","true","true","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Studio in Vatva","Ahmedabad","Vatva","1","741","5","17","24","Semi-Furnished","North-West","Studio","Buy","1792256","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in Bopal","Ahmedabad","Bopal","2","1386","8","21","12","Unfurnished","East","Villa","Buy","5156253","","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Vatva","Ahmedabad","Vatva","2","1497","6","6","18","Semi-Furnished","West","Villa","Buy","4327735","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Gota","Ahmedabad","Gota","2","1335","2","13","19","Semi-Furnished","East","Builder Floor","Buy","3979448","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Independent House in Gota","Ahmedabad","Gota","5","1375","9","16","14","Furnished","South-West","Independent House","Buy","5185468","","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Independent House in Memnagar","Ahmedabad","Memnagar","1","1128","8","18","23","Unfurnished","South-West","Independent House","Rent","8512","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Studio in Navrangpura","Ahmedabad","Navrangpura","2","958","13","20","22","Unfurnished","South","Studio","Rent","17240","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Villa in Bodakdev","Ahmedabad","Bodakdev","1","680","7","10","18","Furnished","North-East","Villa","Buy","3951215","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Studio in Chandkheda","Ahmedabad","Chandkheda","2","1235","15","19","","Semi-Furnished","North","Studio","Rent","14255","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Builder Floor in Prahlad Nagar","Ahmedabad","Prahlad Nagar","4","1992","4","18","11","Furnished","North-West","Builder Floor","Buy","12219537","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Studio in Vatva","Ahmedabad","Vatva","3","1827","11","13","1","Furnished","South","Studio","Rent","19983","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Apartment in Chandkheda","Ahmedabad","Chandkheda","1","611","7","13","19","Semi-Furnished","North-West","Apartment","Rent","7728","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Memnagar","Ahmedabad","Memnagar","3","1810","15","21","5","Furnished","North-East","Independent House","Rent","28634","true","true","Priya Singh","+91-9765432109"
"Spacious 2BHK Independent House in Navrangpura","Ahmedabad","Navrangpura","2","823","18","29","2","Unfurnished","North-East","Independent House","Buy","4255568","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in Thaltej","Ahmedabad","Thaltej","4","1515","16","31","6","Unfurnished","North-West","Apartment","Rent","32459","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Chandkheda","Ahmedabad","Chandkheda","2","813","16","23","8","Unfurnished","South-West","Independent House","Rent","12827","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Bodakdev","Ahmedabad","Bodakdev","2","1001","10","19","23","Semi-Furnished","West","Apartment","Rent","21731","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Builder Floor in Naroda","Ahmedabad","Naroda","5","2346","10","14","7","Semi-Furnished","South","Builder Floor","Rent","34365","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Builder Floor in Odhav","Ahmedabad","Odhav","1","733","8","8","22","Semi-Furnished","South-East","Builder Floor","Buy","1988898","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Independent House in SG Highway","Ahmedabad","SG Highway","1","711","10","23","20","Furnished","South","Independent House","Buy","3381504","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Odhav","Ahmedabad","Odhav","3","1759","6","21","5","Furnished","South-East","Independent House","Buy","6497910","true","true","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Independent House in Gota","Ahmedabad","Gota","1","728","16","16","20","Unfurnished","West","Independent House","Rent","6081","","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Vatva","Ahmedabad","Vatva","3","902","7","18","5","Furnished","South","Studio","Buy","3038008","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Maninagar","Ahmedabad","Maninagar","3","1365","16","31","3","Furnished","North-East","Independent House","Rent","26781","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Maninagar","Ahmedabad","Maninagar","1","628","13","15","","Semi-Furnished","South-West","Studio","Buy","3213117","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Villa in Satellite","Ahmedabad","Satellite","1","1007","17","19","22","Unfurnished","South-West","Villa","Buy","5012722","","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Builder Floor in Prahlad Nagar","Ahmedabad","Prahlad Nagar","1","947","8","21","20","Unfurnished","East","Builder Floor","Buy","4850833","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in Satellite","Ahmedabad","Satellite","3","1194","","4","18","Furnished","East","Villa","Buy","6349380","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Maninagar","Ahmedabad","Maninagar","2","1362","9","19","9","Unfurnished","West","Independent House","Buy","5820801","","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Builder Floor in Vatva","Ahmedabad","Vatva","4","1165","3","7","2","Unfurnished","South-East","Builder Floor","Buy","3579393","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Gota","Ahmedabad","Gota","3","1834","3","4","5","Furnished","South","Builder Floor","Buy","7898408","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Builder Floor in Navrangpura","Ahmedabad","Navrangpura","1","693","18","22","2","Furnished","North","Builder Floor","Rent","11327","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Independent House in Gota","Ahmedabad","Gota","4","1844","15","21","2","Unfurnished","North-East","Independent House","Buy","7599818","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Satellite","Ahmedabad","Satellite","2","1303","6","19","10","Semi-Furnished","North","Villa","Rent","21038","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Apartment in Memnagar","Ahmedabad","Memnagar","1","561","","3","18","Furnished","North","Apartment","Rent","9499","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Independent House in Maninagar","Ahmedabad","Maninagar","2","1466","15","18","12","Semi-Furnished","North-East","Independent House","Rent","16522","true","true","Priya Singh","+91-9765432109"
"Luxurious 4BHK Independent House in Bodakdev","Ahmedabad","Bodakdev","4","1050","16","31","25","Semi-Furnished","West","Independent House","Buy","4706453","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Builder Floor in Memnagar","Ahmedabad","Memnagar","2","985","18","20","24","Semi-Furnished","South","Builder Floor","Buy","3949557","true","true","Priya Singh","+91-9765432109"
"Cozy 1BHK Studio in Gota","Ahmedabad","Gota","1","768","2","12","20","Unfurnished","North-East","Studio","Buy","2336311","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Prahlad Nagar","Ahmedabad","Prahlad Nagar","2","1031","13","18","17","Furnished","North","Independent House","Buy","5980028","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in Odhav","Ahmedabad","Odhav","2","926","20","27","1","Unfurnished","North-East","Studio","Rent","12028","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in Maninagar","Ahmedabad","Maninagar","2","717","16","19","19","Unfurnished","South-West","Independent House","Rent","13959","true","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Studio in Odhav","Ahmedabad","Odhav","5","1546","9","24","16","Unfurnished","West","Studio","Rent","28090","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in SG Highway","Ahmedabad","SG Highway","3","1631","11","22","10","Unfurnished","South","Independent House","Buy","8065674","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Studio in Bopal","Ahmedabad","Bopal","4","2198","16","22","1","Unfurnished","North-West","Studio","Buy","9752627","true","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Apartment in Odhav","Ahmedabad","Odhav","3","1621","14","14","24","Unfurnished","East","Apartment","Buy","4234363","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Studio in Memnagar","Ahmedabad","Memnagar","3","1531","12","16","14","Semi-Furnished","North-West","Studio","Buy","6944277","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Vastrapur","Ahmedabad","Vastrapur","2","1122","15","24","8","Furnished","South-West","Independent House","Rent","23156","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Independent House in Odhav","Ahmedabad","Odhav","1","901","","10","4","Furnished","South-West","Independent House","Buy","3202031","true","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Studio in Vastrapur","Ahmedabad","Vastrapur","5","1982","16","20","2","Furnished","North","Studio","Rent","53272","","","Amit Patel","+91-9654321098"
"Cozy 1BHK Villa in Chandkheda","Ahmedabad","Chandkheda","1","643","12","12","23","Unfurnished","North-East","Villa","Rent","6444","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Bopal","Ahmedabad","Bopal","2","864","12","19","1","Semi-Furnished","South","Apartment","Buy","4514394","true","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Satellite","Ahmedabad","Satellite","3","1000","20","20","8","Semi-Furnished","North-West","Apartment","Buy","6500192","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Apartment in Chandkheda","Ahmedabad","Chandkheda","1","1131","1","13","11","Furnished","North-West","Apartment","Rent","8466","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in Prahlad Nagar","Ahmedabad","Prahlad Nagar","4","2092","11","22","21","Unfurnished","South","Apartment","Buy","9537876","","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Villa in Vatva","Ahmedabad","Vatva","4","1145","12","25","25","Semi-Furnished","South-East","Villa","Rent","22088","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Memnagar","Ahmedabad","Memnagar","2","852","10","15","","Furnished","West","Builder Floor","Buy","5219317","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Builder Floor in Prahlad Nagar","Ahmedabad","Prahlad Nagar","4","1675","13","27","18","Semi-Furnished","North-West","Builder Floor","Buy","8804636","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Bopal","Ahmedabad","Bopal","3","926","9","24","4","Furnished","East","Independent House","Rent","25135","","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Independent House in Chandkheda","Ahmedabad","Chandkheda","1","1056","16","23","4","Furnished","South","Independent House","Buy","5082512","","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Builder Floor in Odhav","Ahmedabad","Odhav","4","1724","9","20","11","Furnished","South-West","Builder Floor","Buy","5861105","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in SG Highway","Ahmedabad","SG Highway","3","1704","12","14","5","Furnished","East","Independent House","Buy","9619635","true","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in SG Highway","Ahmedabad","SG Highway","3","1454","11","12","5","Furnished","North-West","Independent House","Rent","32887","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Villa in Prahlad Nagar","Ahmedabad","Prahlad Nagar","2","964","4","14","9","Unfurnished","North-East","Villa","Rent","19642","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Independent House in Odhav","Ahmedabad","Odhav","1","569","16","18","16","Unfurnished","North-West","Independent House","Buy","1558289","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Bodakdev","Ahmedabad","Bodakdev","3","1406","5","7","11","Unfurnished","West","Builder Floor","Rent","30483","","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Independent House in Gota","Ahmedabad","Gota","1","1150","8","11","5","Semi-Furnished","North","Independent House","Rent","7095","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Builder Floor in Naroda","Ahmedabad","Naroda","5","1348","19","31","12","Furnished","South-West","Builder Floor","Buy","4773406","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Vastrapur","Ahmedabad","Vastrapur","3","1384","5","16","14","Semi-Furnished","West","Builder Floor","Rent","30754","true","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in Gota","Ahmedabad","Gota","2","1044","8","21","16","Semi-Furnished","North","Builder Floor","Rent","13118","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Apartment in Vatva","Ahmedabad","Vatva","4","1051","1","11","15","Unfurnished","North-East","Apartment","Rent","22089","true","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Builder Floor in Odhav","Ahmedabad","Odhav","5","2358","9","15","20","Semi-Furnished","South-East","Builder Floor","Rent","29986","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Villa in Vatva","Ahmedabad","Vatva","2","1264","19","25","1","Semi-Furnished","North","Villa","Buy","4565100","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Studio in Vastrapur","Ahmedabad","Vastrapur","2","1271","17","28","15","Semi-Furnished","South-East","Studio","Buy","6275570","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Bopal","Ahmedabad","Bopal","2","1237","11","15","10","Unfurnished","South-East","Studio","Buy","5308640","true","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Independent House in Satellite","Ahmedabad","Satellite","4","1053","13","22","20","Unfurnished","North-East","Independent House","Buy","5692479","true","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Villa in Thaltej","Ahmedabad","Thaltej","4","2176","11","20","21","Semi-Furnished","West","Villa","Rent","36568","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Independent House in Navrangpura","Ahmedabad","Navrangpura","1","685","11","14","4","Furnished","North-East","Independent House","Buy","4333166","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Studio in Naroda","Ahmedabad","Naroda","3","1365","18","29","11","Furnished","East","Studio","Buy","5405903","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in Adarsh Nagar","Jaipur","Adarsh Nagar","3","1029","11","26","","Semi-Furnished","East","Independent House","Buy","4193804","","","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Shyam Nagar","Jaipur","Shyam Nagar","3","1660","20","20","15","Semi-Furnished","North","Builder Floor","Rent","18600","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Studio in Jagatpura","Jaipur","Jagatpura","1","916","14","15","1","Furnished","North-East","Studio","Buy","4027113","true","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Raja Park","Jaipur","Raja Park","2","1296","3","8","7","Unfurnished","South-West","Builder Floor","Buy","5098357","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Bani Park","Jaipur","Bani Park","2","1030","","13","5","Semi-Furnished","North","Apartment","Rent","18967","","","Amit Patel","+91-9654321098"
"Cozy 1BHK Independent House in Sikar Road","Jaipur","Sikar Road","1","554","15","22","21","Semi-Furnished","North","Independent House","Rent","6213","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Villa in Nirman Nagar","Jaipur","Nirman Nagar","2","823","18","24","12","Semi-Furnished","North-East","Villa","Rent","13511","true","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Nirman Nagar","Jaipur","Nirman Nagar","2","1353","17","19","13","Semi-Furnished","North","Villa","Buy","4758301","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in C Scheme","Jaipur","C Scheme","2","1137","9","19","11","Furnished","East","Builder Floor","Buy","6576385","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Builder Floor in Vaishali Nagar","Jaipur","Vaishali Nagar","4","1547","15","27","21","Unfurnished","West","Builder Floor","Buy","5669505","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Studio in Malviya Nagar","Jaipur","Malviya Nagar","1","870","13","14","18","Unfurnished","South-East","Studio","Buy","3618985","","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Apartment in Sikar Road","Jaipur","Sikar Road","1","816","18","33","10","Unfurnished","North-West","Apartment","Buy","2702455","true","","Rahul Sharma","+91-9876543210"
